area_code,pref_code,area_name,area_name_en,level,vacant_total_1958,vacant_for_rent_1958,vacant_for_sale_1958,vacant_secondary_1958,vacant_other_1958,vacant_total_1963,vacant_for_rent_1963,vacant_for_sale_1963,vacant_secondary_1963,vacant_other_1963,vacant_total_1968,vacant_for_rent_1968,vacant_for_sale_1968,vacant_secondary_1968,vacant_other_1968,vacant_total_1973,vacant_for_rent_1973,vacant_for_sale_1973,vacant_secondary_1973,vacant_other_1973,vacant_total_1978,vacant_for_rent_1978,vacant_for_sale_1978,vacant_secondary_1978,vacant_other_1978,vacant_total_1983,vacant_for_rent_1983,vacant_for_sale_1983,vacant_secondary_1983,vacant_other_1983,vacant_total_1988,vacant_for_rent_1988,vacant_for_sale_1988,vacant_secondary_1988,vacant_other_1988,vacant_total_1993,vacant_for_rent_1993,vacant_for_sale_1993,vacant_secondary_1993,vacant_other_1993,vacant_total_1998,vacant_for_rent_1998,vacant_for_sale_1998,vacant_secondary_1998,vacant_other_1998,vacant_total_2003,vacant_for_rent_2003,vacant_for_sale_2003,vacant_secondary_2003,vacant_other_2003,vacant_total_2008,vacant_for_rent_2008,vacant_for_sale_2008,vacant_secondary_2008,vacant_other_2008,vacant_total_2013,vacant_for_rent_2013,vacant_for_sale_2013,vacant_secondary_2013,vacant_other_2013,vacant_total_2018,vacant_for_rent_2018,vacant_for_sale_2018,vacant_secondary_2018,vacant_other_2018,vacant_total_2023,vacant_for_rent_2023,vacant_for_sale_2023,vacant_secondary_2023,vacant_other_2023
46000,46,鹿児島県,Kagoshima-ken,prefecture,8900,,,,,9800,,,,,17510,,,,,27100,,,,,38200,,,500,,54700,18300,,1300,35100,80900,33400,,4000,43500,83800,31700,,2200,49800,89400,30900,,4900,53600,106400,34200,2700,7600,61900,129900,48700,2400,3800,75000,147300,44300,3000,4600,95500,167000,53600,3900,4200,105200,184200,53800,3700,4500,122200
47000,47,沖縄県,Okinawa-ken,prefecture,,,,,,,,,,,,,,,,12800,,,,,21800,,,300,,20800,10800,,400,9500,36200,24800,,600,10900,43700,27300,,1000,15400,52100,31700,,2400,18000,51800,27900,1800,4600,17600,58400,32200,1700,2700,21900,62400,33900,1600,3200,23800,67900,36400,1200,3500,26800,65400,31900,1700,3700,28100
01100,01,札幌市,Sapporo-shi,major_city,,,,,,,,,,,,,,,,16500,,,,,31500,,,,,51800,41130,,610,10060,73290,64520,,750,8020,78400,61400,,2500,14500,98400,77100,,3100,18200,106800,71800,5000,2200,27800,135600,107700,8600,2700,16600,142200,104400,6000,2800,29000,125400,76100,2900,2100,44300,155800,111600,10900,1500,31800
04100,04,仙台市,Sendai-shi,major_city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44700,30100,,2300,12300,63100,52800,,1400,8900,68100,51300,4200,1300,11400,81100,59800,2900,1200,17200,56000,33500,1000,2300,19300,63800,44500,2100,1200,16000,67600,47200,4000,500,15800
11100,11,さいたま市,Saitama-shi,major_city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42700,27600,3000,1200,11000,56500,35200,5800,800,14700,56300,36500,2900,1100,15800,57500,35600,2900,900,18100,56500,31400,4200,700,20100
12100,12,千葉市,Chiba-shi,major_city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32500,24600,,600,7300,50500,39500,,2200,8700,58700,35800,4600,4900,13400,54200,33700,6600,1300,12600,52700,33700,2600,700,15700,57900,39200,2400,400,15800,52700,33800,4700,400,13700
13100,13,特別区部,Ku-area,major_city,32000,,,,,52000,,,,,101350,,,,,165800,,,,,267400,,,,,310030,213090,,13560,83390,309820,214650,,16120,79050,398200,294000,,23200,81000,457800,352400,,20000,85400,491500,340200,34100,16500,100800,544800,354700,39500,11300,139300,587300,425300,40700,8000,113200,572900,407200,31100,6300,128400,646800,458200,32000,5700,150900
14100,14,横浜市,Yokohama-shi,major_city,6300,,,,,8300,,,,,22610,,,,,41400,,,,,56000,,,,,68100,43560,,1860,22670,74400,48080,,2490,23830,103500,75900,,3200,24400,136700,103300,,5000,28400,148800,94100,10200,6200,38400,160400,96200,10800,2500,50900,178100,112300,10500,2700,52600,178300,113400,11800,1500,51700,168600,105700,10000,1300,51500
14130,14,川崎市,Kawasaki-shi,major_city,,,,,,,,,,,,,,,,18800,,,,,27000,,,,,31820,20820,,550,10450,31350,22270,,870,8210,44800,33700,,1000,10100,59400,47600,,900,10800,62000,45100,4300,1300,11200,69500,48400,5700,900,14500,78500,59800,4400,600,13600,73800,46500,3200,300,23800,75100,51000,3400,500,20100
14150,14,相模原市,Sagamihara-shi,major_city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35900,23600,1200,1000,10200,36200,23600,1600,700,10400,30200,16900,1100,400,11800
