survey_year,area_code,pref_code,pref_name,city_name,ward_name,full_name,level,dwellings_total,occupied_total,occupied_exclusive,occupied_shared,unoccupied_total,temporary_occupants_only,vacant_total,vacant_for_rent,vacant_for_sale,vacant_secondary,vacant_other,under_construction,other_buildings,vacant_rate_pct,vacant_other_rate_pct,vacant_for_rent_rate_pct
2023,02445,02,青森県,南部町,,青森県 南部町,city,7110,6010,6000,10,1090,,1080,70,,10,1000,10,0,15.19,14.06,0.98
2023,03000,03,岩手県,,,岩手県,prefecture,579400,476700,473900,2700,102800,1700,100400,41100,2000,3200,54100,600,1000,17.33,9.34,7.09
2023,03201,03,岩手県,盛岡市,,岩手県 盛岡市,city,155760,130530,129990,540,25230,590,24330,14650,390,330,8970,300,280,15.62,5.76,9.41
2023,03202,03,岩手県,宮古市,,岩手県 宮古市,city,24640,19120,18850,270,5520,50,5470,1980,40,90,3360,,20,22.2,13.64,8.04
2023,03203,03,岩手県,大船渡市,,岩手県 大船渡市,city,16290,12950,12820,140,3330,10,3320,1360,20,120,1820,,10,20.38,11.17,8.35
2023,03205,03,岩手県,花巻市,,岩手県 花巻市,city,41780,34530,34410,120,7250,120,7120,2220,70,100,4730,,100,17.04,11.32,5.31
2023,03206,03,岩手県,北上市,,岩手県 北上市,city,46140,39710,39550,160,6430,110,6210,3730,170,100,2210,100,20,13.46,4.79,8.08
2023,03207,03,岩手県,久慈市,,岩手県 久慈市,city,16400,12580,12460,120,3810,290,3490,1050,50,90,2310,30,50,21.28,14.09,6.4
2023,03208,03,岩手県,遠野市,,岩手県 遠野市,city,11740,8990,8960,30,2740,60,2680,520,40,70,2060,,50,22.83,17.55,4.43
2023,03209,03,岩手県,一関市,,岩手県 一関市,city,48620,39930,39770,160,8690,,8690,3190,160,50,5290,,50,17.87,10.88,6.56
2023,03210,03,岩手県,陸前高田市,,岩手県 陸前高田市,city,8090,6920,6890,30,1180,20,1160,360,20,10,760,,10,14.34,9.39,4.45
2023,03211,03,岩手県,釜石市,,岩手県 釜石市,city,18740,14150,14070,80,4590,50,4510,1880,50,40,2530,30,20,24.07,13.5,10.03
2023,03213,03,岩手県,二戸市,,岩手県 二戸市,city,12360,10010,9980,20,2360,30,2330,690,40,20,1560,,20,18.85,12.62,5.58
2023,03214,03,岩手県,八幡平市,,岩手県 八幡平市,city,13170,8380,8340,40,4790,,4760,890,440,1400,2030,30,10,36.14,15.41,6.76
2023,03215,03,岩手県,奥州市,,岩手県 奥州市,city,50540,41990,41590,390,8560,70,8380,3010,60,100,5220,110,80,16.58,10.33,5.96
2023,03216,03,岩手県,滝沢市,,岩手県 滝沢市,city,25130,21760,21660,100,3360,,3330,2090,80,30,1130,30,30,13.25,4.5,8.32
2023,03301,03,岩手県,雫石町,,岩手県 雫石町,city,6150,5110,5070,40,1040,10,1030,270,20,100,630,,20,16.75,10.24,4.39
2023,03321,03,岩手県,紫波町,,岩手県 紫波町,city,13260,11740,11650,90,1520,20,1500,570,20,70,840,,,11.31,6.33,4.3
2023,03322,03,岩手県,矢巾町,,岩手県 矢巾町,city,11610,10620,10580,40,990,20,970,490,20,,460,,20,8.35,3.96,4.22
2023,03381,03,岩手県,金ケ崎町,,岩手県 金ケ崎町,city,6450,5740,5680,60,710,,690,50,20,10,620,10,10,10.7,9.61,0.78
2023,03507,03,岩手県,洋野町,,岩手県 洋野町,city,6660,5270,5250,20,1390,80,1310,100,,30,1180,,10,19.67,17.72,1.5
2023,04000,04,宮城県,,,宮城県,prefecture,1129200,983900,978300,5600,145300,3300,140300,80200,6500,1600,52000,1700,1300,12.42,4.61,7.1
2023,04100,04,宮城県,仙台市,,宮城県 仙台市,city,604700,534100,531200,2900,70600,2100,67600,47200,4000,500,15800,1000,600,11.18,2.61,7.81
2023,04101,04,宮城県,,青葉区,宮城県 青葉区,ward,191510,165040,164180,860,26470,550,25740,17480,2570,240,5450,190,90,13.44,2.85,9.13
2023,04102,04,宮城県,,宮城野区,宮城県 宮城野区,ward,108030,96610,96030,580,11420,180,11060,7900,200,30,2930,180,130,10.24,2.71,7.31
2023,04103,04,宮城県,,若林区,宮城県 若林区,ward,77760,69650,69250,400,8110,680,7290,4650,210,,2430,140,70,9.38,3.12,5.98
2023,04104,04,宮城県,,太白区,宮城県 太白区,ward,122980,107700,107000,700,15280,470,14500,11160,530,110,2700,310,200,11.79,2.2,9.07
2023,04105,04,宮城県,,泉区,宮城県 泉区,ward,104430,95080,94720,360,9350,210,8980,6030,520,150,2270,160,110,8.6,2.17,5.77
2023,04202,04,宮城県,石巻市,,宮城県 石巻市,city,65950,55250,54860,380,10700,220,10400,6120,590,130,3560,80,100,15.77,5.4,9.28
2023,04203,04,宮城県,塩竈市,,宮城県 塩竈市,city,24460,20910,20710,200,3550,10,3500,1220,180,20,2070,40,10,14.31,8.46,4.99
2023,04205,04,宮城県,気仙沼市,,宮城県 気仙沼市,city,28250,23330,23240,90,4920,30,4850,1860,60,10,2920,40,60,17.17,10.34,6.58
2023,04206,04,宮城県,白石市,,宮城県 白石市,city,14930,12200,12150,50,2730,60,2660,1060,60,40,1490,10,70,17.82,9.98,7.1
2023,04207,04,宮城県,名取市,,宮城県 名取市,city,32470,29730,29600,120,2750,190,2470,1620,80,30,740,90,60,7.61,2.28,4.99
2023,04208,04,宮城県,角田市,,宮城県 角田市,city,12510,10270,10160,110,2240,10,2200,1050,30,30,1100,20,,17.59,8.79,8.39
2023,04209,04,宮城県,多賀城市,,宮城県 多賀城市,city,30750,26970,26730,240,3790,60,3660,2730,20,30,880,70,50,11.9,2.86,8.88
2023,04211,04,宮城県,岩沼市,,宮城県 岩沼市,city,19560,17370,17200,170,2190,180,1980,1250,60,60,600,30,30,10.12,3.07,6.39
2023,04212,04,宮城県,登米市,,宮城県 登米市,city,29810,25370,25320,50,4440,,4420,1440,50,20,2910,20,60,14.83,9.76,4.83
2023,04213,04,宮城県,栗原市,,宮城県 栗原市,city,26760,22020,21960,60,4740,20,4690,1060,100,70,3460,40,60,17.53,12.93,3.96
2023,04214,04,宮城県,東松島市,,宮城県 東松島市,city,16280,13990,13890,100,2300,70,2230,1430,100,,690,,30,13.7,4.24,8.78
2023,04215,04,宮城県,大崎市,,宮城県 大崎市,city,57430,48100,47770,330,9330,120,9160,4680,340,110,4030,40,40,15.95,7.02,8.15
2023,04216,04,宮城県,富谷市,,宮城県 富谷市,city,19680,18740,18680,60,940,10,910,360,90,10,440,20,20,4.62,2.24,1.83
2023,04321,04,宮城県,大河原町,,宮城県 大河原町,city,11370,9850,9810,40,1520,,1510,840,90,,580,20,,13.28,5.1,7.39
2023,04323,04,宮城県,柴田町,,宮城県 柴田町,city,18750,15820,15720,100,2920,20,2840,1490,80,,1260,70,20,15.15,6.72,7.95
2023,04361,04,宮城県,亘理町,,宮城県 亘理町,city,13760,12390,12360,30,1370,20,1350,550,30,40,740,,10,9.81,5.38,4.0
2023,04404,04,宮城県,七ヶ浜町,,宮城県 七ヶ浜町,city,7350,6630,6580,40,720,,720,140,90,160,330,,10,9.8,4.49,1.9
